benchmark_id,family_role,property,group,score,abs_share
I51,interior,entanglement,E,0.1098771247790437,0.4926470588235277
I51,interior,entanglement,M,0.11315703895155246,0.5073529411764689
I51,interior,entanglement,X,7.500666754367559e-16,3.363012477060518e-15
I52,interior,magic,E,0.05299145644988895,0.04878947382131493
I52,interior,magic,M,0.5940540323548001,0.5469482365978985
I52,interior,magic,X,0.43907928974822646,0.4042622895807866
I52,interior,entanglement,E,0.14822071414643506,0.44829974411941725
I52,interior,entanglement,M,-0.02125013467187846,0.0642719203639419
I52,interior,entanglement,X,0.16115774531033333,0.4874283355166408
I53,interior,magic,E,0.14396857760384058,0.13215873418957663
I53,interior,magic,M,0.7543816818892363,0.6924992233279225
I53,interior,magic,X,0.1910107917207094,0.17534204248250074
I53,interior,entanglement,E,0.21912219608147418,0.4617958921508078
I53,interior,entanglement,M,0.028944937716928142,0.06100090988166438
I53,interior,entanglement,X,0.22643296420142106,0.4772031979675278
I54,interior,magic,E,0.3872241290634111,0.3590679419919712
I54,interior,magic,M,0.30619008675353787,0.2839261194152803
I54,interior,magic,X,0.38500043438891507,0.35700593859274854
I54,interior,entanglement,E,0.3265899285025079,0.4871694373316921
I54,interior,entanglement,M,0.2839831068056867,0.4236134622662433
I54,interior,entanglement,X,0.05980959438075946,0.08921710040206451
I55,interior,magic,E,-7.490304672804389e-17,8.735547865187414e-17
I55,interior,magic,M,0.8330750483563356,0.9715715552442842
I55,interior,magic,X,0.02437599975187476,0.028428444755715668
I55,interior,entanglement,E,0.34473021033623263,0.4935158064601539
I55,interior,entanglement,M,0.3537888762334207,0.5064841935398458
I55,interior,entanglement,X,-2.546111469807026e-16,3.645013455982548e-16
