benchmark_id,family_role,grid_row,grid_col,candidate_uid,sre,entanglement_q,sre_norm,ent_norm,n_samples,repeats,runtime_magic_mean_s,runtime_entanglement_mean_s,runtime_total_mean_s,top_group_magic,top_margin_magic,top_group_entanglement,top_margin_entanglement,magic_E,entanglement_E,magic_abs_share_E,entanglement_abs_share_E,magic_M,entanglement_M,magic_abs_share_M,entanglement_abs_share_M,magic_X,entanglement_X,magic_abs_share_X,entanglement_abs_share_X
I15,interior,1,5,pool_05280,0.1414532534219739,0.8579950800984828,0.1170131096536313,0.8579950800984828,300,5,17.739573049800036,0.3682319667998854,18.107805016599922,X,0.11401627903646612,X,0.005275204176615755,8.437694987151191e-17,0.42615198152574313,5.965005952871525e-16,0.49664905799759324,0.013718487192753879,0.0004753778543297082,0.09698247909385158,0.000554018223030378,0.12773476622922,0.4314271857023589,0.9030175209061478,0.5027969237793763
E2,entanglement_axis,2,0,pool_04101,0.2674717381531799,0.3093590885844655,0.2212582536535947,0.3093590885844655,300,5,17.501763466600003,0.36124304999984813,17.863006516599853,M,0.2680956737168018,M,0.031811678323276554,-3.552713678800504e-18,0.14978058579186138,1.3251663592875993e-17,0.45200017392462205,0.2680956737168018,0.18159226411513793,1.0,0.5479998260753779,0.0,0.0,0.0,0.0
I21,interior,2,1,pool_00421,0.3566732394827476,0.096170356164152,0.2950476137696748,0.096170356164152,300,5,42.45038167499988,1.2911563829999069,43.74153805799979,M,0.28375275591307875,E,0.008287766131805846,0.04311821173961934,0.14914092918565588,0.11243995161760557,0.32132504412234447,0.3268709676526981,-0.17414940330723544,0.8523859015771361,0.37520595457681644,-0.013488500198466048,0.14085316305385004,0.03517414680525837,0.30346900130083904
I22,interior,2,2,pool_08549,0.360520564487238,0.3047927155345389,0.2982302020222095,0.3047927155345389,300,5,30.24049785019979,0.7695410418000392,31.01003889199983,M,0.3031254952151403,E,0.004020418889481875,0.0,0.15625706549737375,0.0,0.5065162088102945,0.32649402512723014,0.15223664660789188,0.9332065418962497,0.49348379118970453,0.023368529912089816,-2.868816295631405e-16,0.0667934581037502,9.299431991834218e-16
I23,interior,2,3,pool_03707,0.3746934494414127,0.5000000000000018,0.3099543108788921,0.5000000000000018,300,5,18.267334716799816,0.6179598582000836,18.8852945749999,X,0.2858838373273294,E,0.6661111111111098,-1.486218555631543e-16,0.6105555555555544,3.967106123931075e-16,0.8459051724137935,0.044375802264710947,-0.055555555555555344,0.11845062507908374,0.07697044334975359,0.33025963959204035,-0.055666666666666365,0.8815493749209158,0.07712438423645296
I24,interior,2,4,pool_04467,0.3737565279752184,0.7116097936004024,0.3091792697143486,0.7116097936004024,300,5,30.171613808199616,1.0815634750002574,31.253177283199875,M,0.2992955184003416,M,0.009997000746187645,0.030158804337703363,0.35050944721159555,0.07839297373065762,0.4929699175404463,0.3294543227380449,0.3605064479577832,0.8563636601324862,0.5070300824595528,0.025099977970156746,-6.017408793468348e-16,0.06524336613685605,8.463114304969049e-16
I25,interior,2,5,pool_06108,0.3712826894851351,0.909928978789086,0.307132858426501,0.909928978789086,300,5,30.32074096659999,1.2025405830001545,31.523281549600142,M,0.48985701832501116,E,0.9439313927985767,-0.139572362519303,0.9439313927985767,0.22174427627143997,0.9549475928249789,0.48985701832501116,-0.0445326861632714,0.7782557237285601,0.045052407175021104,0.0,0.0,0.0,0.0
E3,entanglement_axis,3,0,pool_06218,0.1973273374989643,0.5108744031547481,0.1632333284802236,0.5108744031547481,300,5,17.548006208199876,0.3990016081998874,17.947007816399765,X,0.1973273374989635,X,0.013963900352896325,0.0,0.24556029644971464,0.0,0.48617666891436284,4.144832625267238e-18,0.0,2.1004857602606682e-17,0.0,0.1973273374989635,0.25952419680261096,1.0,0.5138233310856372
I31,interior,3,1,pool_07685,0.6017548382155575,0.1064574536366969,0.4977842726506112,0.1064574536366969,300,5,45.09919334159986,1.4210041001999343,46.520197441799795,X,0.14055067286893894,E,0.001224790895692815,-0.026763980750003514,0.0469361935253932,0.040913891883560295,0.450507644976952,0.24341960865016435,0.04571140262970039,0.37211368681208135,0.43875173507963017,0.3839702815191033,0.011537524893838797,0.5869724213043583,0.11074061994341777
I32,interior,3,2,pool_03726,0.6111430301830194,0.2962508751806145,0.5055503827227554,0.2962508751806145,300,5,33.40041468319996,1.370586541800003,34.771001224999964,M,0.1588588064411831,E,0.0154515364744289,0.20542616090377908,0.16357697406473445,0.3352535620859912,0.524785718519767,0.3642849673449622,0.14812543759030555,0.5945096397628822,0.4752142814802324,0.04303750184959635,1.8533323024409275e-16,0.07023679815112673,5.945838829415292e-16
